Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
25,40.5268,-88.0308,266.838,489.49,386.44,333.8,155.69,924.39,469.86,126.033,198.146,72.1026,434.9,0.0314677,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003,bepridil,31.5,15
26,40.6092,-88.0234,266.108,493.63,387.78,334.29,159.34,933.79,477.15,121.407,192.854,71.4368,440.16,0.029321,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072,bepridil,31.5,15
27,40.6856,-88.0202,265.933,498.34,392.01,337.29,161.05,924.92,471.22,128.455,200.728,72.2629,426.58,0.028972,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705,bepridil,31.5,15
28,40.3604,-88.0228,266.198,497.33,390.45,336.03,161.3,932.72,476.55,123.114,195.075,71.9505,435.39,0.0311415,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104,bepridil,31.5,15
29,40.6053,-88.0137,265.532,488.68,383.63,331.02,157.66,911.33,459.49,132.951,205.875,72.9125,422.65,0.0313081,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107,bepridil,31.5,15
30,40.6395,-88.0144,265.431,487.37,385.4,333.02,154.35,906.76,456.16,136.134,209.137,72.9921,419.39,0.0303921,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647,bepridil,31.5,15
31,40.6294,-88.0326,266.942,496.1,388.2,333.69,162.41,925.17,470.71,127.308,199.968,72.6493,429.07,0.0317161,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723,bepridil,31.5,15
32,40.7781,-88.0359,267.255,502.61,394.78,338.96,163.65,934.45,478.92,124.914,197.333,72.4076,431.84,0.028887,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758,bepridil,31.5,15
33,41.0706,-88.0455,267.854,504.84,396.08,340.48,164.36,942.87,485.78,120.478,191.825,71.3369,438.03,0.0277506,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497,bepridil,31.5,15
34,40.852,-88.0352,267.058,501.53,391.72,336.34,165.19,919.2,466.63,132.598,205.506,72.8968,417.67,0.0285512,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231,bepridil,31.5,15
35,40.8523,-88.0282,266.45,497.66,390.22,336.15,161.51,924.72,471.06,127.71,199.573,71.8522,427.06,0.0288412,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911,bepridil,31.5,15
