Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
1,41.0946,-88.0465,268.213,680.3,509.29,393.79,286.51,1065.99,600.54,117.861,189.035,71.1628,385.69,0.0149665,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595,bepridil,31.5,25
2,40.8624,-88.0356,267.417,685.47,519.24,399.7,285.77,1080.56,614.92,112.094,182.013,69.9084,395.09,0.0157985,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285,bepridil,31.5,25
3,40.3564,-88.0251,266.535,688.48,523.15,402.83,285.65,1077.79,611.67,114.876,185.595,70.7079,389.31,0.0155461,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203,bepridil,31.5,25
4,40.8388,-88.0268,266.539,683.08,518.48,399.74,283.34,1076.6,611.27,113.702,183.881,70.1689,393.52,0.0160625,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719,bepridil,31.5,25
5,40.6504,-88.0479,268.381,672.98,512.7,399.04,273.94,1080.73,613.84,106.639,176.139,69.4907,407.75,0.0176451,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734,bepridil,31.5,25
6,40.6377,-88.0548,268.879,668.56,507.72,395.83,272.73,1080.28,612.42,104.4,173.598,69.1881,411.72,0.0184669,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177,bepridil,31.5,25
7,40.4274,-88.0337,267.285,691.77,525.78,404.66,287.11,1092.08,624.89,107.24,176.708,69.458,400.31,0.0166685,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573,bepridil,31.5,25
8,40.9212,-88.053,268.681,673.62,507.1,394.22,279.4,1070.47,604.64,111.597,181.756,70.1482,396.85,0.0162271,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129,bepridil,31.5,25
9,41.096,-88.0517,268.63,698.73,524.8,402.41,296.32,1081,615.26,118.361,189.553,71.1809,382.27,0.0127811,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248,bepridil,31.5,25
10,40.9101,-88.0546,268.72,689.27,519.12,400.68,288.59,1088.09,621.22,108.024,177.569,69.5343,398.82,0.0138483,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015,bepridil,31.5,25
11,40.5899,-88.0216,266.352,693.69,523.54,403.45,290.24,1084.8,618.28,112.102,182.726,70.6129,391.11,0.0134593,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042,bepridil,31.5,25
12,40.8676,-88.0463,268.302,679.61,515.54,399.65,279.96,1072.51,607.39,115.23,186.156,70.9154,392.9,0.0160515,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066,bepridil,31.5,25
13,40.594,-88.0439,268.087,692.27,526.49,404.75,287.52,1085.4,619.51,112.855,183.183,70.3179,393.13,0.0150976,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247,bepridil,31.5,25
14,40.4748,-88.0411,267.865,667.92,508.36,396.3,271.62,1076.77,609.45,105.84,175.116,69.2659,408.85,0.0190297,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749,bepridil,31.5,25
15,40.8694,-88.0422,267.962,677.04,512.78,397.45,279.59,1072.95,607.54,113.286,183.856,70.5585,395.91,0.0161226,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721,bepridil,31.5,25
16,40.9232,-88.0473,268.182,684.85,516.16,398.73,286.12,1077.85,612,112.49,182.579,70.0786,393,0.0138907,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682,bepridil,31.5,25
17,40.8287,-88.0241,266.292,670.74,507.96,393.96,276.78,1064.43,599.29,114.815,185.167,70.3411,393.69,0.0166479,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942,bepridil,31.5,25
18,40.904,-88.0571,269.089,682.72,517.08,399.98,282.74,1082.39,616.43,110.6,180.967,70.3571,399.67,0.015708,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146,bepridil,31.5,25
19,40.555,-88.0228,266.221,672.01,509.8,395.39,276.62,1059.34,593.85,119.05,190.39,71.3292,387.33,0.0159253,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034,bepridil,31.5,25
20,40.7239,-88.0295,266.541,674.26,513.47,398.44,275.82,1071.48,606,112.969,183.191,70.2117,397.22,0.0142082,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852,bepridil,31.5,25
21,40.5849,-88.0222,266.226,690.46,526.75,404.32,286.14,1090.34,624.01,109.236,178.926,69.6795,399.88,0.0163441,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727,bepridil,31.5,25
22,40.7952,-88.0189,265.928,693.05,525.22,402.26,290.79,1072.59,606.23,122.007,193.463,71.4438,379.54,0.0125489,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846,bepridil,31.5,25
23,40.4559,-88.0465,268.207,680.04,513.55,397.83,282.21,1088.47,619.55,102.874,171.757,68.8733,408.43,0.0186586,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645,bepridil,31.5,25
24,40.5457,-88.0296,266.718,678.87,515.77,399.05,279.82,1080.13,613.49,109.22,179.17,69.9396,401.26,0.0155416,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506,bepridil,31.5,25
25,40.4362,-88.0439,268.069,681.3,518.56,401.72,279.58,1078.39,612.24,111.233,181.379,70.1357,397.09,0.0163196,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003,bepridil,31.5,25
26,40.6096,-88.0359,267.296,681.75,515.02,398.85,282.9,1082.26,615.11,107.744,177.347,69.5928,400.51,0.0149627,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072,bepridil,31.5,25
27,40.6929,-88.0334,267.216,690.91,522.86,401.85,289.06,1083.04,617,112.687,182.893,70.1959,392.13,0.0144818,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705,bepridil,31.5,25
28,40.2254,-88.0356,267.36,688.19,521.12,402.37,285.82,1084.99,617.69,108.865,178.889,70.0136,396.8,0.0164846,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104,bepridil,31.5,25
29,40.6061,-88.0271,266.7,681.81,513.67,397.01,284.8,1068.13,602.32,116.337,187.145,70.7971,386.32,0.0163124,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107,bepridil,31.5,25
