Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
25,39.0401,-88.1193,271.861,294.03,237.66,210.25,83.78,1045.06,474.93,44.9104,103.937,59.0229,751.03,0.0671565,0,0,25,1.2427,1.17211,0.997716,0.805043,1.13113,1.24015,1.01595,1.15684,1.01538,diltiazem,127.5,9
26,37.6519,-87.9466,259.752,278.43,214.48,188.24,90.19,995.47,443.13,52.929,114.024,61.0923,717.04,0.0757345,0,0,26,1.23639,0.91462,0.798116,0.816288,0.792247,0.787773,0.963238,0.707834,1.16415,diltiazem,127.5,9
27,38.6191,-88.1148,272.058,283.2,226.78,201.5,81.7,1031.65,463.65,46.1456,104.424,58.2757,748.45,0.0693244,0,0,27,1.14452,1.19292,1.293,0.91499,0.910605,0.998969,1.09078,1.14034,1.13923,diltiazem,127.5,9
28,37.6809,-88.0109,264.63,292.47,227.19,198.82,93.65,1072.71,474.58,37.0876,92.9002,55.8113,780.24,0.0791406,0,0,28,1.08215,0.85268,1.00467,0.71747,0.914475,0.886925,1.21371,0.817162,0.825968,diltiazem,127.5,9
30,38.322,-88.0449,267.844,220.3,166.23,145.51,74.79,999.07,421.22,43.8197,102.029,58.2066,778.77,0.0916613,0,0,30,1.097,0.767484,0.844748,1.01332,1.0797,0.816959,1.02856,0.884865,1.11905,diltiazem,127.5,9
32,37.8219,-88.0541,267.109,236.05,185.22,162.15,73.9,1011.47,434.65,43.6907,102.613,58.9196,775.42,0.0849881,0,0,32,0.789063,0.966402,1.26303,0.970787,0.938576,1.15059,0.974893,0.936304,0.941136,diltiazem,127.5,9
33,38.7955,-88.0837,269.213,207.48,164.29,144.9,62.58,934.08,398.79,61.9815,127.243,65.2547,726.6,0.0827816,0,0,33,0.750712,1.20696,1.03387,1.2762,0.861783,1.27134,0.716745,1.05283,1.23934,diltiazem,127.5,9
35,36.9756,-87.9376,258.379,291,231.35,203.49,87.51,982.32,445.61,59.696,122.947,63.2465,691.32,0.0719051,0,0,35,1.20112,0.970467,1.24295,0.734576,1.04501,1.10247,0.893425,0.720147,1.20447,diltiazem,127.5,9
36,39.4484,-88.1358,273.444,198.89,155.76,136.72,62.17,1023.48,426.57,37.5225,95.3933,57.868,824.59,0.0890281,0,0,36,1.16262,1.11148,0.767137,1.28512,0.90081,1.24414,0.970821,1.165,0.900677,diltiazem,127.5,9
37,39.4842,-88.1477,275.216,230.41,178.02,157.57,72.84,1024.46,437.03,40.4974,97.2261,56.7263,794.05,0.0797311,0,0,37,0.739248,1.21866,0.920536,1.22788,0.97928,0.724012,1.11896,1.19254,1.12618,diltiazem,127.5,9
38,39.3098,-88.1515,275.947,235.03,182.61,161.03,74,1043.16,444.83,37.3326,93.215,55.8804,808.13,0.0841358,0,0,38,0.729709,1.05851,0.961845,1.10564,0.811333,0.875033,1.15353,1.21064,0.993575,diltiazem,127.5,9
39,40.102,-88.1739,277.954,341.66,267.27,234.99,106.67,1069.75,501.03,44.192,104.917,60.721,728.09,0.0566341,0,0,39,1.06294,1.27003,0.752569,0.712422,0.923522,0.746652,0.888847,1.28624,0.862813,diltiazem,127.5,9
40,37.373,-87.992,261.828,212.64,168.34,148.99,63.65,1024.26,429.09,38.8304,93.9851,55.1536,811.62,0.0836219,0,0,40,0.856686,1.09947,1.25831,1.19708,1.03643,1.17594,1.27196,0.823172,1.1284,diltiazem,127.5,9
41,38.8901,-88.1384,275.548,231.04,173.85,151.53,79.51,1005.9,428.23,43.2979,102.547,59.2462,774.86,0.0897233,0,0,41,0.871109,0.902345,1.10156,1.007,1.23715,0.751594,0.923052,1.13444,0.956678,diltiazem,127.5,9
43,37.5675,-87.993,263.296,258.69,200.73,176.66,82.03,1056.23,455.71,36.9498,92.1321,55.1815,797.54,0.0788849,0,0,43,1.02679,1.01342,1.05075,0.926255,0.993944,0.839068,1.26881,0.794397,0.927704,diltiazem,127.5,9
